# ----------------------------------------------------------------------------------------------------------------------------------------------
# Question 1
# For every year after 1995 print the difference between the money spent to create the movie and the revenue of the movie.
# ----------------------------------------------------------------------------------------------------------------------------------------------

+------+-----------------------------------------------------------------------------------+----------+
|Id    |Movie                                                                              |Return    |
+------+-----------------------------------------------------------------------------------+----------+
|755   |From Dusk Till Dawn                                                                |6836616   |
|36929 |Big Bully                                                                          |-12957470 |
|10534 |White Squall                                                                       |-27700000 |
|9095  |Mary Reilly                                                                        |-34620598 |
|9208  |Broken Arrow                                                                       |100270147 |
|13685 |Bottle Rocket                                                                      |-6439931  |
|9614  |Happy Gilmore                                                                      |29205099  |
|2074  |Flirting with Disaster                                                             |7702438   |
|11000 |The Birdcage                                                                       |154260553 |
|2320  |Executive Decision                                                                 |66969216  |
|275   |Fargo                                                                              |53611975  |
|8766  |Hellraiser: Bloodline                                                              |12675000  |
|1592  |Primal Fear                                                                        |72616183  |
|61752 |Girl 6                                                                             |-7060061  |
|10684 |Courage Under Fire                                                                 |54860818  |
|954   |Mission: Impossible                                                                |377696359 |
|8840  |DragonHeart                                                                        |58267375  |
|10539 |James and the Giant Peach                                                          |-9078736  |
|47502 |Faithful                                                                           |-3210100  |
|2300  |Space Jam                                                                          |170200000 |
|40001 |Mrs. Winterbourne                                                                  |-14930000 |
|9103  |The Quest                                                                          |27400547  |
|36355 |Flipper                                                                            |-5449980  |
|9100  |The Craft                                                                          |9769466   |
|40507 |Original Gangstas                                                                  |-1786000  |
|9802  |The Rock                                                                           |260062621 |
|664   |Twister                                                                            |402471524 |
|10547 |The Arrival                                                                        |-10951628 |
|9826  |The Phantom                                                                        |-27699111 |
|9879  |Striptease                                                                         |63309743  |
|7095  |Jack                                                                               |13620973  |
|627   |Trainspotting                                                                      |12491080  |
|602   |Independence Day                                                                   |741969268 |
|9566  |The Fan                                                                            |-36373581 |
|10545 |The Hunchback of Notre Dame                                                        |138851    |
|9894  |The Cable Guy                                                                      |55825796  |
|11543 |Kingpin                                                                            |-1976566  |
|9268  |Eraser                                                                             |142295562 |
|9327  |The Nutty Professor                                                                |74769345  |
|11228 |Daylight                                                                           |79212469  |
|10779 |The Frighteners                                                                    |-640784   |
|26748 |Lone Star                                                                          |8269963   |
|9294  |Phenomenon                                                                         |120036382 |
|11363 |She's the One                                                                      |5982579   |
|1645  |A Time to Kill                                                                     |112266007 |
|18550 |Fled                                                                               |-7806769  |
|11962 |Joe's Apartment                                                                    |-8380986  |
|2925  |The First Wives Club                                                               |90400000  |
|3595  |Ransom                                                                             |229492681 |
|12123 |Chain Reaction                                                                     |10209334  |
|10830 |Matilda                                                                            |-2540584  |
|3573  |Emma                                                                               |16231658  |
|10546 |The Crow: City of Angels                                                           |4917287   |
|9431  |Bordello of Blood                                                                  |-9400000  |
|47907 |The Spitfire Grill                                                                 |6643776   |
|10061 |Escape from L.A.                                                                   |-7722635  |
|549   |Basquiat                                                                           |49144     |
|10478 |Tin Cup                                                                            |8854588   |
|88224 |Manny & Lo                                                                         |-68674    |
|9303  |Bound                                                                              |2511317   |
|11015 |The Relic                                                                          |-26043392 |
|9306  |The Island of Dr. Moreau                                                           |9627779   |
|10723 |Bulletproof                                                                        |-2388046  |
|10861 |Maximum Risk                                                                       |26702483  |
|1770  |Michael Collins                                                                    |-11100000 |
|9333  |Last Man Standing                                                                  |-19732999 |
|9400  |Set It Off                                                                         |32590886  |
|12241 |Curdled                                                                            |-2250380  |
|11306 |Extreme Measures                                                                   |-20619874 |
|6346  |The Chamber                                                                        |-27459641 |
|11159 |Secrets & Lies                                                                     |8917292   |
|41843 |Surviving Picasso                                                                  |-14014999 |
|11412 |The Long Kiss Goodnight                                                            |24456761  |
|10586 |The Ghost and the Darkness                                                         |25000000  |
|49471 |Get on the Bus                                                                     |3331103   |
|38153 |Shadow Conspiracy                                                                  |-42845460 |
|25147 |Jude                                                                               |-6595000  |
|454   |Romeo + Juliet                                                                     |132798761 |
|10218 |Swingers                                                                           |4305922   |
|819   |Sleepers                                                                           |121615285 |
