text,rating,date
Good salary and also right principles. *separator* Sometime the env van be hard for new members.,5,"Sep 11, 2022"
"- The Amazon science community has lots of smart, hardworking, and nice people, which makes collaborating easier and you can learn from many people. - Project impact always aims to be clear and tangible, so you won't be stuck on dead-end projects that no one cares about. - WLB is usually pretty good and most teams are flexible about WFH. - Very strong customer-focused business philosophy.. *separator* - The perks and benefits are subpar in comparison to peers, e.g. very low 401k match, no fun perks like free food or wellness subsidy. - URA/stack ranking makes work environment more stressful. Sometimes people work too hard. - Way too many leadership principles..",4,"Oct 19, 2022"
Good and quality work to do .. *separator* Too much work to do but you will learn.,4,"Oct 15, 2022"
"1. Working with a lot of intelligent team members 2. Numerous opportunities to develop your career by participating in big projects 3. Various projects where you can apply your knowledge and skills 4. Work-life balance if you meet job requirements 5. Rewards for hard work. *separator* 1. Fast-paced work. If you are not ready or do not fit in a role, it would be hard to survive..",5,"Sep 7, 2022"
Not bad WLB Diverse team Interesting space. *separator* - Steep learning curve - Could be overwhelming if you're not self-motivated enough..,4,"Sep 20, 2022"
"- I heard all the time before joining that work culture is not that great, work life balance is very bad, but that was mostly from SDE at AWS, I cant say anything about that right now, but joining Amazon.com as DS, I am doing exactly what I was hired for with a nice team who respects work life balance and you time. - Onboarding process is so well designed. - Work Life Balance - Pay is good compared to industry standards.. *separator* - Well, sometimes, thing dont seem very logical, the company will pay you $300 for extra luggage on flight, but you cant use that $300 to just UPS the stuff (while relocation). Such policies does not make a lot of sense. - Other than that, all good for me as of now..",5,"Aug 29, 2022"
1. good career and development programs 2. good pay 3. Good overall benefits. *separator* Fast paced might be challenging for some.,5,"Aug 8, 2022"
"Very smart people, quick environment keeps your focused and productive, interesting problems. *separator* Low level of community/relationships between the team.",5,"Aug 1, 2022"
Great growth Great projects Great team. *separator* Low salaries Competitive Environment No free food.,5,"Jul 22, 2022"
- Learn new things - High salary. *separator* - requires a lot of effort and discipline.,5,"Jul 18, 2022"
They have a good pay. *separator* Working environment is quiet depressing.,5,"Jul 8, 2022"
a lot of learning and adopt modern technologies. *separator* lack of work life balance.,3,"Jul 12, 2022"
Opportunities to move teams Reasonably good pay. *separator* Bad appraisal process Mandatory URA.,4,"Jul 4, 2022"
great place to work for the entry. *separator* great place to work for interns.,5,"Jun 5, 2022"
They believe in a open door policy.. *separator* They could provide a better attendance system for the employees.,4,"Jun 14, 2022"
"It is very good and chills. *separator* it is overloaded sometimes, but manageable.",5,"May 23, 2022"
"Competitive compensation, okayish work life balance.. *separator* Non-technical micro-managers. No focus on customers but their own promotions..",3,"Jun 5, 2022"
Diversity of projects High bar for quality of outputs. *separator* High turnover of employees Unnecessary competition for project ideas between organizations.,3,"Jun 2, 2022"
Fast growing stock. Great jump off point in the career. *separator* The company culture feels extremely cold and metrics driven.,2,"May 24, 2022"
"If you like the feel of a start up but with more security and some of the perks of working for a large org, you'll like it at Amazon. Although it really depends on you where you work and what org you work in. Some places, like Fashion or Ads, are amazing. Management listens and is truly invested in their staff. Other organizations are incredibly toxic. So it's a roll of the dice. The pay is ok. They try to keep you there by inflating your compensation package with stock that vests slowly over a 4 year time period. But the base pay runs between average to slightly below average. As a data scientist (or any tech role), you'll likely have total access to the complete AWS suite of tools, but you'll have to monitor your usage as every group is given a budget for an AWS bill. Don't expect to have access to industry standard tools like Stata, SPSS, etc.. *separator* Amazon still tries to pretend it's a startup but when you employ 50,000+ people that doesn't always work well. The systems are often broken or unusable and you are very much thrown into the deep end to figure out how to do anything. There's no broad support. As a data scientist, I was lucky that I had a strong SDE background so I knew how to spin up and manage my own EMR clusters or how to work with a bunch of different databases to gather results using different code languages, as well as knowing both R and Python, but most people don't have that kind of background. And despite having 3 job families for scientists (Data, Research, and Applied), the role guidelines aren't always followed so sometimes Data or Research scientists end up doing the work of an Applied Scientist. It's ridiculously competitive. Some orgs are able to harness that and direct it in healthy ways, allowing people to grow and help those around them. Other orgs will weaponize that competitiveness and create a toxic environment, where everyone is either stabbing you in the back or throwing you under the bus. Regardless of your org though, management will put unrealistic expectations on you and just expect you to perform at the very peak of your peers; which means you have to be a super performer 24/7. Otherwise, you'll get a poor review and will be fired, put on an improvement plan (which most folks never recover from and are eventually fired or quit within a year), or given a verbal warning and no compensation review (salary adjustments only happen once a year for everyone at the same time). Management also pays lip service to DEI but most of it is smoke and mirrors. They don't take the time to listen to marginalized communities and when people speak up about injustice, they are quickly silenced. And the internal affinity groups (also known as ERGs in the larger tech world) are gagged by the business. They are supposed to advocate for their communities but most of them aren't allowed to do so, especially if it rocks the boat too much. If you are a cishet white male, you'll fit in fine. For everyone else, it's a roll of the dice..",2,"May 22, 2022"
The pay is good (that’s only four words). *separator* Pay could be even higher.,4,"May 20, 2022"
"- Highly motivating and rewarding - Novel, interesting, and impactful projects - Encouraged to owning projects - Respectful work/life time - Careful monthly allocation of projects/commitment to preserve operations/research/life balance. *separator* - No really 'hard' cons, (but my bias is that I've recently joined) - Even though there is careful allocation of ops/research/life and there are rules to respect out-of-office time, challenge will be to not let operations take most of the work time (including research to be 'competitive').",5,"May 5, 2022"
I just joined the company. So far the workload is manageable and people are great.. *separator* So far I did not have any cons to share..,5,"Apr 25, 2022"
"Great company and better than what I've expected. Smooth onboarding process, well-organized training plans and flexible time.. *separator* Many reviews online mentioned bad WLB working at Amazon, but I felt comfortable with the working hours and workload. I think it may vary depending on different positions and teams..",5,"Apr 12, 2022"
Great opportunity to work on large scale projects. *separator* Employee benefit is less competitive as compared to other companies.,4,"Apr 14, 2022"
- Good place to grow! - Work life balance will likely take a hit if you want to grow fast - Smart and talented individuals (in pockets). *separator* - Compensation policy and transparency is really bad!.,3,"Apr 13, 2022"
- great pay - good teams. *separator* - bad work life balance.,3,"Apr 6, 2022"
Diverse set of opportunities Very supportive set of colleagues Interesting space to learn from and work in Lots of internal resources to leverage and learn. *separator* Very frugal Too many disconnected components in terms of work products developed.,4,"Apr 5, 2022"
smart very driven focused people. *separator* stuck on one project for months without the ability to move.,3,"Mar 31, 2022"
- Best Upper Mangers - Very Well Organized Company - High Compensation - Work-life Balance. *separator* There is really no cons working at Amazon.,5,"Mar 15, 2022"
"I worked for Amazon supply chain(SCOT). You have chance build up both your hard skills and soft skills. Also, when you see the Prime logos and Amazon warehouses in your life, you definitely feel you benefit from your hard work.. *separator* Leaders don't share their vision often..",5,"Mar 9, 2022"
"- Many courses are available to foster learning, including Machine Learning University and AWS trainings. - Vibrant scientist community that will give honest feedback to your work (check the ""have a backbone"" leadership principle). Paper reviews around once a week, including inviting scholars who wrote them to present their work. - High salary. - Interesting challenges to address with ML. - Career growth opportunities, given in part by the high growth of the company.. *separator* - Restricted Stock Units will be a high proportion of your compensation at some point..",5,"Feb 22, 2022"
Challenging and fast environment. Perfect to learn. *separator* Inertia of big company in projects.,4,"Mar 4, 2022"
Good pay Loved my job Had good benefits. *separator* Treatment from upper management wasn't the best.,4,"Mar 4, 2022"
"great company to improve your skills. *separator* hard work, long time, complax.",4,"Feb 23, 2022"
Great environment to work at and nice benefits.. *separator* Nothing that is negative at this location.,5,"Jan 13, 2022"
"Good company, Goo people and work. *separator* Gets a bit hectic sometimes.",4,"Jan 19, 2022"
Good company to work at. *separator* There are no cons for this company.,4,"Jan 14, 2022"
good bones and nice company. *separator* lots of work and no rest.,1,"Feb 5, 2022"
Flexible work culture and high impact projects. *separator* Very fast paced and hence no experimentation.,3,"Jan 12, 2022"
"Smart people, interesting work if you want it, great pay, flexible hours.. *separator* Lots of corporate trainings get in the way of all the hard work I want to be doing..",4,"Jan 3, 2022"
